,p_pi,p_tau_dist,p_tau_id
0,0.2687759747804146,"0.400250704182232
","0.324249021624837
"
1,0.4213089309702277,"0.354726054845178
","0.472196970774023
"
2,0.059106496409616516,"0.5403736776721
","0.194460174958088
"
3,0.29247482144197634,"0.313097468299157
","0.0203802728190594
"
4,0.21398789525669792,"0.0733865468665172
","0.12942535660634
"
5,0.9370953110138069,"0.177824893417199
","0.726823338287383
"
6,0.6363167448139044,"0.503996818986961
","0.41811560881792
"
7,0.2549245975769785,"0.126678248757116
","0.185437849789409
"
8,0.5623773659890274,"0.560847671381212
","0.261791365087737
"
9,0.11068925604884927,"0.361668075021451
","0.201807968508118
"
10,0.19246907152844206,"0.54993624531613
","0.154858093881559
"
11,0.619583075468016,"0.875055712561612
","0.656916843471641
"
12,0.669619863775087,"0.732210385876185
","0.618733931154324
"
13,0.8324043292784596,"0.907791508093257
","0.505725617635417
"
14,0.7506874738274866,"0.166733275824622
","0.720536843306253
"
15,0.04719535901814531,"0.139023981655857
","0.18057753321538
"
16,0.7286080034474403,"0.271708395749983
","0.49559863081456
"
17,0.5073956291266266,"0.16932537798251
","0.447255565519264
"
18,0.7553544521535354,"0.881377746046069
","0.727440791951981
"
19,0.5680938731995736,"0.950714352241967
","0.692504761568545
"
20,0.2832197181164726,"0.457464452301226
","0.284115670796842
"
21,0.9031481529754075,"0.895458961774991
","0.870355634576216
"
22,0.16345173533194735,"0.467666860452861
","0.068912941825009
"
23,0.9160912195517787,"0.511095671194062
","0.47450591686857
"
24,0.04639587792799593,"0.129194004759283
","0.154298658598535
"
25,0.5590375426697856,"0.639859313368749
","0.540518513466617
"
26,0.6604387499797626,"0.658148727050598
","0.764059504371875
"
27,0.19879094551429444,"0.930346010198041
","0.687857167763527
"
28,0.005248520846276139,"0.0513055133030366
","0.151174427912624
"
29,0.766845158941416,"0.561156541510528
","0.86539096336982
"
30,0.12377158642730757,"0.00897483326331794
","0.150191290907315
"
31,0.5069348574257213,"0.733635819640153
","0.00411198334529694
"
32,0.34719438339568165,"0.473112066507492
","0.320501386758284
"
33,0.5538521464337891,"0.674567980428762
","0.334956218049507
"
34,0.07982653137355011,"0.376155882152426
","0.0333709315220736
"
35,0.31708514854716674,"0.655484782889757
","0.50457088228007
"
36,0.49032135636910046,"0.277588613746653
","0.407247918572186
"
37,0.39242215138028247,"0.335450404576853
","0.0448327117543155
"
38,0.7913234049853262,"0.757248279273618
","0.701523593135625
"
39,0.4211578629293288,"0.254382956775021
","0.435910310089856
"
40,0.5665068079699491,"0.333830425226864
","0.735084707472295
"
41,0.9437186588952247,"0.238174291866227
","0.839622698652801
"
42,0.001424451409585803,"0.0101202815332374
","0.000375719340274028
"
43,0.05259865231901162,"0.613748295175657
","0.139656821428724
"
44,0.7780555875847098,"0.892876706977278
","0.958585729072821
"
45,0.2127148859629029,"0.904801646424967
","0.372859762249749
"
46,0.5121019725116692,"0.453743617708002
","0.210081084607811
"
47,0.4172234981587991,"0.259094750050226
","0.717187634497663
"
48,0.3426059252763711,"0.600164969258547
","0.363683728594077
"
49,0.40606354286666124,"0.498338654243263
","0.449700733373404
"
50,0.6867744572207373,"0.533193531862113
","0.373860285536343
"
51,0.9377248234836345,"0.424856792412489
","0.839413320200023
"
52,0.26626612051324394,"0.194919393013476
","0.375134426137041
"
53,0.46182485339370816,"0.0250131501711586
","0.105816917026136
"
54,0.6334223482005024,"0.665398040514994
","0.696877234520712
"
55,0.974858010598252,"0.00384866952270724
","0.99337292431253
"
56,0.30319872773110235,"0.430127847351914
","0.132303433786194
"
57,0.08301208327856069,"0.0809092846803582
","0.267091195649618
"
58,0.8642928354990649,"0.469438121287646
","0.864175072935303
"
59,0.6873686465408122,"0.757174762456119
","0.678398157893525
"
60,0.7744267348989713,"0.506086633644035
","0.748199026584471
"
61,0.24971332512609623,"0.318106027033146
","0.230771978729017
"
62,0.653508857714627,"0.980827608298347
","0.930298227685021
"
63,0.047119584500972866,"0.100003389022116
","0.0622485386752749
"
64,0.6567230272602864,"0.378531556921064
","0.798280473488713
"
65,0.1533604054237444,"0.217324749633609
","0.26729904898673
"
66,0.8288294254484877,"0.549939961421005
","0.632599962471673
"
67,0.7137596843421181,"0.788164130399958
","0.408052952991427
"
68,0.6223421139330805,"0.587067273037531
","0.713151913853255
"
69,0.21233347778469824,"0.0563755977393746
","0.0546734645362167
"
70,0.5695381280922235,"0.425017654129792
","0.0704670360872974
"
71,0.3101354971155219,"0.883587762657857
","0.737465628410099
"
72,0.48594223183625906,"0.202826761818934
","0.469515820379509
"
73,0.5299796486454765,"0.561198025520101
","0.077263507341448
"
74,0.8272687802003948,"0.882538415924852
","0.84514565305578
"
75,0.5792988744869195,"0.62872700497275
","0.492711596527377
"
76,0.8139245995130421,"0.695591085149168
","0.884682784173397
"
77,0.4255102107104024,"0.388704082878877
","0.592824518269845
"
78,0.28132388481394266,"0.708697133540853
","0.249299271771298
"
79,0.4975737267106455,"0.63462101890377
","0.89953447428542
"
80,0.22313641278749508,"0.811193902648974
","0.527264903644807
"
81,0.7588482329711232,"0.77038061618736
","0.921911820450303
"
82,0.7644426807276786,"0.0186536346689983
","0.591769347245134
"
83,0.09996291492601839,"0.356419976446736
","0.170359704009358
"
84,0.2654219289421289,"0.333722597683216
","0.260786776400201
"
85,0.4865549905632943,"0.340670843141246
","0.453208702170264
"
86,0.5337578483931033,"0.858537493207669
","0.577804968371524
"
87,0.6172964917774497,"0.114945715671205
","0.473834498237958
"
88,0.2830673619193246,"0.0884823324046906
","0.399724784831184
"
89,0.11036372192865762,"0.310566627185742
","0.157615959063086
"
90,0.34498021907851006,"0.250987969093192
","0.292525298226233
"
91,0.8551388792818169,"0.00515503487754021
","0.620029874995318
"
92,0.16056608518684679,"0.262305314907796
","0.567678626320409
"
93,0.19824766859338605,"0.566455397258137
","0.0111745208382039
"
94,0.8898063632192318,"0.36219161421379
","0.897693301345263
"
95,0.7139834171502282,"0.689449413089634
","0.666970105417114
"
96,0.7152808996629427,"0.00271269182046507
","0.469551433530209
"
97,0.0722773024251474,"0.201162320698985
","0.113482076766958
"
98,0.094260682010612,"0.22767261791801
","0.0694597083869237
"
99,0.14026547739697703,"0.552832623513374
","0.0886229328072048
"
100,0.40069409361226094,"0.552036689746645
","0.367464404911761
"
101,0.3371731021411517,"0.89910198571519
","0.248811271931131
"
102,0.37373827886867494,"0.597020085136843
","0.448039334650439
"
103,0.2327889926720308,"0.533714887675389
","0.24177883935214
"
104,0.9593350032662693,"0.561690308092118
","0.823769283269224
"
105,0.2585669035486792,"0.328564216067318
","0.118122017190241
"
106,0.6224581699231018,"0.649760001297116
","0.470040006533352
"
107,0.3596414819706555,"0.701006710234379
","0.383541079998803
"
108,0.29162530083852656,"0.593095801328017
","0.206106136695908
"
109,0.1336882503305925,"0.152969279043391
","0.211294444401761
"
110,0.8070520275413718,"0.890273120771139
","0.831150957348634
"
111,0.22493985843254272,"0.418505459384027
","0.162897268235735
"
112,0.5971347001279723,"0.759503690702984
","0.737801738964316
"
113,0.1854797113688157,"0.26800091073923
","0.341386167833066
"
114,0.4674228281516837,"0.213033305685599
","0.289232927672009
"
115,0.2973828013497012,"0.388776920558869
","0.382248498706786
"
116,0.40593544877597865,"0.137744620564736
","0.275482066795179
"
117,0.6170554003754333,"0.566902879273473
","0.848532499214407
"
118,0.9399725213422636,"0.974003886345801
","0.937129876057232
"
119,0.10505261144437794,"0.335246681285718
","0.0461781077143035
"
120,0.36574960734399864,"0.158388803316852
","0.295971956197493
"
121,0.2596373472136293,"0.00429031626881515
","0.00587405480650116
"
122,0.861026499777954,"0.737006505436502
","0.839846990538505
"
123,0.5216515488638498,"0.818194731137709
","0.442084509604622
"
124,0.12946002717277993,"0.212425495975994
","0.0755673806726673
"
125,0.6340291514486724,"0.22831394236322
","0.564863298925527
"
126,0.8733204536144845,"0.962144121059991
","0.826262202545413
"
127,0.8691906203103532,"0.824145179553287
","0.903766734977308
"
128,0.3773676214666368,"0.633442543438845
","0.353535348870961
"
129,0.5784807842230882,"0.231582548196829
","0.240821260423188
"
130,0.0798303427469752,"0.00230319057122275
","0.365502594236051
"
131,0.8443421037077925,"0.546029602337704
","0.956543075163345
"
132,0.9951069197012914,"0.766300173938574
","0.943390503998434
"
133,0.49579683695331644,"0.341339514715996
","0.552711455225515
"
134,0.19912343008324263,"0.0513361469538904
","0.0889670650969955
"
135,0.23450756988512622,"0.118806478052352
","0.331258771417947
"
136,0.6773795047427162,"0.692706090280544
","0.822692271036995
"
137,0.6947397811857432,"0.858612170970413
","0.701912723492921
"
138,0.7586312627542338,"0.578939004022325
","0.735487028728904
"
139,0.054436169504023635,"0.0868188289095726
","0.0133037116588994
"
140,0.022899718963321214,"0.417547441089663
","0.0708537472336279
"
141,0.2403350156085221,"0.370072685961536
","0.137284063407627
"
142,0.8107099095686774,"0.368062409071344
","0.747152273465657
"
143,0.31151776059512715,"0.237794254915283
","0.272893269150486
"
144,0.39599128975552345,"0.0512805514041728
","0.182855865524742
"
145,0.7680344723349211,"0.802442823739094
","0.936060141052333
"
146,0.9873698276505861,"0.984553121617136
","0.980590599420232
"
147,0.25844659064510034,"0.0500023658197937
","0.140001377842902
"
148,0.15715166326633234,"0.292678630737243
","0.178934131487943
"
149,0.12322498271558013,"0.23027186835995
","0.509805258441323
"
150,0.09786638946359938,"0.00166221633399344
","0.00203910424651155
"
151,0.38126073016034623,"0.708016413441514
","0.20001743682602
"
152,0.29681887230159854,"0.166113989867994
","0.181783540332732
"
153,0.8899197753491785,"0.0912323554942662
","0.653903070558506
"
154,0.7068519527073218,"0.353194980887589
","0.681898670321425
"
155,0.02245188211123539,"0.108331380587324
","0.075295914722846
"
156,0.4968054000195884,"0.135861689510242
","0.196403235344059
"
157,0.90924297818887,"0.927664911712009
","0.740537444508932
"
158,0.2669721319237788,"0.26438670512701
","0.501002621833918
"
159,0.6005200195708422,"0.894802116848046
","0.0133951760830189
"
160,0.47915700586199605,"0.0480138532351728
","0.382112562823761
"
161,0.08025555604800694,"0.762682637263294
","0.183308451233657
"
162,0.29318310879300014,"0.0701713299771013
","0.420655607263175
"
163,0.07358777242811299,"0.191459444717399
","0.0434615779305561
"
164,0.21344756720521607,"0.29320924741093
","0.0424161154285397
"
165,0.23576783959611136,"0.351329001192227
","0.683238872654218
"
166,0.41383859498803044,"0.956601489780198
","0.420034811365485
"
167,0.9679909329679457,"0.827448711940193
","0.986267427768625
"
168,0.9488757239189676,"0.973543676490063
","0.893298493689856
"
169,0.891453708451732,"0.867721604909236
","0.952193733681544
"
170,0.6804666358777927,"0.571195242172518
","0.288591530727504
"
171,0.3169023354604128,"0.412316191679896
","0.241264505179711
"
172,0.5400689667159905,"0.46247014404817
","0.736600218341388
"
173,0.9471474556433424,"0.963880492102828
","0.979508222717859
"
