,p_pi,p_gamma
0,2.220446049250313e-15,"0
"
1,2.170486013142181e-13,"0
"
2,6.114087014452707e-11,"0
"
3,2.067790383364354e-12,"0
"
4,0.009858781798500416,"8.01891264285981e-05
"
5,7.736163631921755e-08,"0
"
6,4.7406523151494184e-14,"0
"
7,3.3993871218496174e-05,"-1.82214050292728e-07
"
8,8.646848381754779e-07,"0
"
9,3.289911154613634e-08,"0
"
10,0.00042884061550563235,"0
"
11,0.020857089781283866,"0.000568766351691785
"
12,0.0,"0
"
13,1.231905688570123e-10,"0
"
14,0.024532352432114934,"0.0057628178871405
"
15,1.8784973576657649e-13,"0
"
16,7.285212877405911e-09,"0
"
17,3.9075494073781414e-07,"0
"
18,6.866877664268856e-07,"0
"
19,1.4432899320127035e-15,"0
"
20,0.06506683768857635,"0.000112381420361851
"
21,0.003085553156077392,"0.00065432249202324
"
22,0.00024413498471420603,"0
"
23,3.8070122059252753e-06,"0
"
24,2.890981911640722e-07,"0
"
25,9.015010959956271e-14,"0
"
26,4.75397499144492e-13,"0
"
27,3.032799567037614e-10,"0
"
28,9.228133812655415e-10,"0
"
29,4.829470157119431e-13,"0
"
30,4.306995537994851e-09,"0
"
31,4.646318478851441e-07,"0
"
32,2.374387664261235e-08,"0
"
33,4.3898497282701676e-05,"0.000284402671063555
"
34,1.684715823813132e-05,"0
"
35,4.09196210249263e-09,"0
"
36,1.956935280489347e-09,"0
"
37,1.006972283335017e-13,"0
"
38,7.038257754388155e-09,"0
"
39,1.0118428317440475e-10,"0
"
40,9.049616833678442e-09,"0
"
41,1.1326495297225847e-11,"0
"
42,2.7383748268938746e-08,"0
"
43,3.5681346766125444e-11,"0
"
44,1.845882668938259e-09,"0
"
45,5.688926658420357e-06,"0
"
46,0.08400780649153006,"0.00129585993821635
"
47,3.228469290461611e-06,"1.70219199513433e-06
"
48,1.0342582346112295e-10,"0
"
49,6.390010742762797e-11,"0
"
50,9.926299782136994e-10,"0
"
51,5.773159728050814e-15,"0
"
52,3.218003641336509e-11,"0
"
53,0.00022438903722454828,"-9.35911648181076e-08
"
54,1.4814260929085776e-11,"0
"
55,0.0005329579483894786,"0.125599136607809
"
56,0.005756695856591443,"0.000643814835427081
"
57,1.942128680099131e-10,"0
"
58,8.716433463895612e-09,"0
"
59,3.7136960173711486e-13,"0
"
60,7.982468323008973e-07,"0
"
61,6.190825629914798e-12,"0
"
62,0.0,"0
"
63,1.1102230246251565e-16,"0
"
64,1.137401173245678e-09,"0
"
65,3.107847312833201e-11,"0
"
66,6.661338147750939e-15,"0
"
67,3.157443070334054e-07,"0
"
68,9.263131595105278e-09,"0
"
69,6.843048350191339e-11,"0
"
70,4.4109915720014214e-10,"0
"
71,1.3888890038060708e-13,"0
"
72,6.773106187019096e-09,"0
"
73,0.0015144664171248268,"9.23992787515981e-06
"
74,3.9745984281580604e-14,"0
"
75,1.4344081478157023e-13,"0
"
76,9.063988314350624e-07,"0
"
77,1.7795764861716634e-12,"0
"
78,7.200795515416303e-12,"0
"
79,0.007268268168071579,"0.000284938023940473
"
80,1.1102230246251565e-16,"0
"
81,1.1175258946005684e-06,"0
"
82,0.982579932245554,"0.537075980363474
"
83,0.0001343622977205694,"0.000646900590718147
"
84,1.252065833790006e-06,"3.24366737193271e-05
"
85,1.1102230246251565e-16,"0
"
86,6.426603693654442e-11,"0
"
87,7.154055126079584e-12,"0
"
88,0.009352614648716506,"0.00012505183345668
"
89,1.825424256196584e-10,"0
"
90,1.2472919197481502e-07,"0
"
91,2.1538326677728037e-14,"0
"
92,3.352910749043758e-08,"0
"
93,0.0002457413229280947,"7.76536807700623e-06
"
94,1.0261797214194956e-06,"0
"
95,1.2429189788498718e-08,"0
"
96,3.0192587407995575e-06,"0
"
97,5.3734794391857577e-14,"0
"
98,1.9972912213006566e-13,"0
"
99,5.6666893399892615e-12,"0
"
100,7.048217565142068e-11,"0
"
101,6.835537358362842e-09,"0
"
102,3.774758283725532e-14,"0
"
103,1.7108536809473662e-13,"0
"
104,4.704570066849101e-11,"0
"
105,7.993605777301127e-14,"0
"
106,9.998662564569827e-09,"0
"
107,0.14462806643758996,"0.0360562107302446
"
108,1.5804024755539103e-12,"0
"
109,0.0011496137499666936,"5.49804899674378e-06
"
110,0.09190358646615027,"0.0169094025682865
"
111,8.693046282814976e-14,"0
"
112,6.321387857610716e-12,"0
"
113,2.3314683517128287e-15,"0
"
114,0.0,"0
"
115,4.284350652028479e-13,"0
"
116,9.259968347663516e-10,"4.1275663398288e-07
"
117,2.7706701377638865e-09,"0
"
118,2.1663548732675508e-10,"0
"
119,0.003307482941929063,"3.00833482670404e-05
"
120,2.7341240382838805e-11,"0
"
121,2.4398787599966276e-05,"0
"
122,1.4432899320127035e-15,"0
"
123,7.71029906587728e-11,"0
"
124,1.7930101847696278e-13,"0
"
125,1.8984813721090177e-14,"0
"
126,1.4145504101392703e-08,"0
"
127,0.00027618257637496146,"0.000471562768424305
"
128,0.06698865372686846,"0.0346898700691674
"
129,0.00038091178314569873,"0
"
130,2.960685030473087e-10,"0
"
131,0.87654017685117,"0.0460184689166746
"
132,0.014077425246641573,"0.00011665630955493
"
133,1.054813958401013e-08,"0
"
134,2.3189228315345645e-12,"0
"
135,0.0,"0
"
136,6.929038320890868e-08,"0
"
137,9.703349235223868e-13,"0
"
138,4.847625177950565e-05,"0
"
139,0.2647674074716282,"0.000345885259383283
"
140,4.071326609178527e-09,"0
"
141,2.220446049250313e-16,"0
"
142,3.686876515196502e-08,"1.85956849121371e-05
"
143,3.588063179904566e-11,"0
"
144,0.010063095271109823,"0.037557085588694
"
145,1.28990476011559e-06,"1.41731273599621e-05
"
146,1.0485358581391324e-08,"0
"
147,1.9251267247000214e-13,"0
"
148,0.0781915158714428,"0.00238343644850814
"
149,0.3288566391208282,"0.327799304477167
"
150,7.26640969617165e-13,"0
"
151,3.3306690738754696e-16,"0
"
152,3.560683881076443e-08,"0
"
153,1.17232223928454e-10,"0
"
154,0.2943457972944521,"0.0147203987626708
"
155,2.8954616482224083e-13,"0
"
156,8.475498081139676e-11,"0
"
157,0.026468233187821766,"0.00101729604032319
"
158,6.482773102889361e-06,"0
"
159,2.91103224858702e-08,"0
"
160,1.7467138846427588e-12,"0
"
161,5.413479664539977e-10,"0
"
162,0.0,"0
"
163,1.9746866919412298e-07,"9.32362248629026e-06
"
164,1.1102230246251565e-15,"0
"
165,0.0,"0
"
166,3.375077994860476e-14,"0
"
167,2.513510510837591e-10,"0
"
168,1.27675647831893e-13,"0
"
169,1.1102230246251565e-16,"0
"
170,2.3280757011079345e-07,"0
"
171,1.1102230246251565e-16,"0
"
172,3.521312673671062e-05,"0
"
173,5.837930139307446e-10,"0
"
174,2.6467550813258356e-05,"0
"
175,9.844347559351263e-13,"0
"
176,3.5582096935549146e-08,"0
"
177,0.0017059686866947033,"0.000203160109189859
"
178,5.237000721969309e-09,"0
"
179,0.0,"0
"
180,4.289995638728783e-07,"0
"
181,5.793664689113243e-07,"0
"
182,0.0012114288952335128,"8.16695446470561e-06
"
183,6.927791673660977e-14,"0
"
184,2.5580340068387386e-09,"0
"
185,1.237959734723404e-10,"0
"
186,9.814960877374546e-08,"0
"
187,0.00033173344242154457,"0
"
188,1.2212453270876722e-15,"0
"
189,4.214162352411677e-11,"0
"
190,7.492895193195181e-13,"0
"
191,5.221942878108621e-10,"0
"
192,2.1674340100474865e-10,"0
"
193,2.4956048338964365e-10,"0
"
194,3.9960074915690313e-08,"0
"
195,0.0,"0
"
196,1.4440670881299411e-12,"0
"
197,1.049110182971269e-05,"0
"
198,8.348877145181177e-14,"0
"
199,8.619723346203756e-08,"0
"
200,0.0029538425203369245,"0.000291073243401718
"
201,5.486722187697524e-12,"0
"
202,2.7677860003905153e-13,"0
"
203,0.0035759056467129513,"0
"
204,3.1028513092223875e-12,"0
"
205,7.459750115401675e-07,"0
"
206,2.3314683517128287e-15,"0
"
207,9.769962616701378e-15,"0
"
208,0.0003943185223892476,"0
"
209,0.007802172855465694,"0.00984075877611146
"
210,5.551115123125783e-16,"0
"
211,1.6076029396572267e-13,"0
"
212,1.7872105018135187e-08,"0
"
213,2.5945824377870963e-09,"0
"
214,1.8455459382948902e-11,"0
"
215,9.486855745421963e-12,"0
"
216,1.159433789199582e-06,"0
"
217,0.015863364836829597,"0.00642862941397682
"
218,2.1764558044701232e-08,"0
"
