,p_pi,p_gamma
0,7.771561172376096e-16,"0
"
1,0.0,"0
"
2,0.0,"0
"
3,0.0,"0
"
4,0.0,"0
"
5,2.737333033575595e-07,"0
"
6,2.220446049250313e-15,"0
"
7,0.0,"0
"
8,0.5927252044288476,"0.462402197227771
"
9,9.658940314238862e-15,"0
"
10,2.220446049250313e-16,"0
"
11,0.0,"0
"
12,0.004768281569980881,"0.120710744704253
"
13,0.0,"0
"
14,6.384892614619275e-13,"0
"
15,0.0,"0
"
16,0.0,"0
"
17,0.0,"0
"
18,0.0,"0
"
19,0.05364183420425339,"0.135725165599833
"
20,1.1132027997184935e-06,"0.00361425948630356
"
21,2.0380084209126181e-07,"0.00191237703639247
"
22,4.834445022083855e-08,"0
"
23,0.0,"0
"
24,0.0,"0
"
25,0.0,"0
"
26,0.0,"5.90055399940503e-06
"
27,0.0,"0
"
28,2.220446049250313e-16,"0
"
29,2.886579864025407e-15,"0
"
30,4.6629367034256575e-14,"0
"
31,0.0,"0
"
32,0.0,"0
"
33,2.220446049250313e-16,"0
"
34,8.365697445888998e-08,"6.06041771433752e-06
"
35,1.4618051213943772e-10,"0
"
36,3.944622406493181e-13,"3.26208782364112e-06
"
37,4.440892098500626e-16,"0
"
38,0.0,"0
"
39,4.924151112417618e-07,"0.000684775192676512
"
40,8.43769498715119e-15,"1.01269118492064e-05
"
41,8.315334643071992e-09,"0
"
42,2.3041901719977886e-11,"0
"
43,0.0,"0
"
44,3.0112043429619817e-05,"0.00397959228473832
"
45,9.992007221626409e-15,"0
"
46,6.961098364399732e-14,"0
"
47,0.807555205501508,"0.290335309494739
"
48,0.0,"0
"
49,0.0,"0
"
50,0.0,"0
"
51,7.011363711839635e-10,"1.94733772316269e-05
"
52,0.0,"0
"
53,3.969752536692184e-07,"0.000487521184643902
"
54,0.0,"0
"
55,0.0,"0
"
56,0.0,"0
"
57,0.0,"0
"
58,0.16913220137851648,"0.263045330561932
"
59,3.3306690738754696e-16,"0
"
60,2.220446049250313e-15,"0
"
61,9.073808659998406e-08,"0.000417277232588775
"
62,0.0,"0
"
63,0.0,"0
"
64,6.661338147750939e-16,"0
"
65,0.0,"0
"
66,0.0,"0
"
67,4.7515102963302525e-11,"0
"
68,7.771561172376096e-16,"0
"
69,1.2516654379624015e-12,"0
"
70,1.9317880628477724e-14,"0
"
71,0.0,"0
"
72,0.0018660256958800137,"0.000184605986211173
"
73,8.104628079763643e-15,"0
"
74,9.048317650695026e-14,"0
"
75,3.3306690738754696e-16,"0
"
76,1.2931389292702988e-10,"0
"
77,0.1518392942651865,"0.484071467824196
"
78,0.0,"0
"
79,4.511048090627412e-09,"7.44886466694794e-05
"
80,1.0733949284968958e-09,"0.000288507379613945
"
81,0.0,"0
"
82,3.7746272774086265e-10,"0
"
83,0.0,"0
"
84,3.3306690738754696e-16,"0
"
85,0.005178016117161621,"0.00347337035684725
"
86,0.0,"0
"
87,1.4599432773820809e-13,"0
"
88,7.702283255639486e-12,"0
"
89,0.0,"0
"
90,6.287192988452261e-13,"0
"
91,0.0,"0
"
92,0.0,"0
"
93,7.726512429861998e-09,"1.42879681264141e-05
"
94,0.0,"0
"
95,9.992007221626409e-16,"0
"
96,0.0,"0
"
97,2.011575350735484e-10,"0
"
98,0.0,"0
"
99,0.0,"0
"
100,8.994182065791279e-10,"0
"
101,0.0,"0
"
102,0.0,"0
"
103,0.12112788024561483,"0.485064939215222
"
104,0.00021298531316926717,"0.00140849722696479
"
105,0.0,"0
"
106,0.00036822185141738295,"0.0019495415832117
"
107,9.163403345002763e-07,"3.7197062572325e-06
"
108,2.7396085400255288e-11,"0
"
109,0.0,"0
"
110,0.0,"0
"
111,0.0,"0
"
112,4.1833493599319205e-05,"4.31807374600135e-05
"
113,2.1844592801301133e-10,"0.0122619318297491
"
114,0.0,"0
"
115,0.0,"0
"
116,2.220446049250313e-15,"0
"
117,0.0,"0
"
118,2.7071678232459817e-12,"0.000148866226788225
"
119,0.0,"0
"
120,0.0,"0
"
121,0.0,"0
"
122,1.467714838554457e-13,"0
"
123,7.771561172376096e-16,"0
"
124,4.6629367034256575e-14,"0
"
125,4.440892098500626e-16,"0
"
126,0.0,"0
"
127,1.035838081975271e-13,"7.42705594269921e-06
"
128,0.0,"0
"
129,2.7549386649727836e-07,"0
"
130,3.019806626980426e-14,"0
"
131,0.0,"0
"
132,1.3726797476465435e-12,"0
"
133,0.0,"0
"
134,0.0,"0
"
135,0.0,"0
"
136,7.353895270512112e-12,"8.25303827638457e-05
"
137,3.597122599785507e-14,"0
"
138,1.72911684970245e-11,"3.50223430035657e-05
"
139,9.938370642115224e-06,"0.000165695678025601
"
140,3.6560748872815907e-09,"1.32309307818712e-05
"
141,2.7977620220553945e-14,"0
"
142,1.4777068457760834e-13,"0
"
143,0.0,"0
"
144,0.0,"0
"
145,7.784153321921394e-10,"5.02035868914508e-05
"
146,0.0,"0
"
147,0.0,"0
"
148,8.40638669785676e-12,"0
"
149,7.105427357601002e-15,"0
"
150,4.440892098500626e-16,"0
"
151,3.6217140397809544e-11,"0.000204754942878749
"
152,2.986277891636746e-12,"0
"
153,0.6411118381809039,"0.0480611404395771
"
154,0.0,"0
"
155,0.0,"0
"
156,3.4630769875088063e-06,"0.000129451577226214
"
157,0.0,"0
"
158,1.1746159600534156e-13,"0
"
159,2.2093438190040615e-14,"0
"
160,0.0,"0
"
161,4.4011093317419814e-05,"0.00773351425052915
"
162,0.0,"0
"
163,4.440892098500626e-16,"0
"
164,2.37698749572246e-13,"0
"
165,0.0,"0
"
166,0.0,"0
"
167,9.416366711922919e-07,"0.000702718174484973
"
168,4.440892098500626e-16,"0
"
169,1.9984014443252818e-14,"0
"
170,1.0776934900036395e-12,"0
"
