,p_pi,p_gamma
0,1.2945200467129325e-13,"0
"
1,7.116529587847253e-14,"0
"
2,0.10423253734505233,"0.000131633811642384
"
3,3.316359409311076e-09,"1.1277741936544e-05
"
4,1.551481165762425e-11,"0
"
5,4.274971697881824e-05,"0.0112796185701554
"
6,0.0011767796737510716,"0.327841900550756
"
7,0.0002285356572019337,"0.00131552110688227
"
8,1.2160701334806845e-09,"0
"
9,4.33840252611617e-09,"3.77658507555445e-06
"
10,5.551115123125783e-16,"0
"
11,3.6193270602780103e-14,"0
"
12,0.04253499385050086,"0.0071831871617527
"
13,0.16818407330411345,"0.369057758043837
"
14,3.556022143413884e-11,"0
"
15,1.283985269107113e-06,"0
"
16,5.611577869046869e-11,"0
"
17,3.918365298893889e-09,"0
"
18,4.440892098500626e-15,"0
"
19,7.738165663795371e-11,"0
"
20,5.9117155615240335e-12,"0
"
21,4.1463833966304264e-07,"2.12424035016534e-05
"
22,1.8107737531636303e-13,"0
"
23,2.6924198759381568e-08,"7.84588695168509e-06
"
24,3.574185281074449e-09,"3.74885289244897e-06
"
25,1.1102230246251565e-16,"0
"
26,1.0898577207374416e-07,"0
"
27,1.1102230246251565e-16,"0
"
28,0.0,"0
"
29,7.427392034742297e-14,"0
"
30,4.440892098500626e-16,"2.21186598592382e-06
"
31,0.007768652115478503,"0.0408157569495856
"
32,6.567235644183711e-11,"0
"
33,9.65227897609111e-13,"0
"
34,0.0044681143170630655,"0.000878813774939369
"
35,1.2634338020234281e-13,"0
"
36,3.4593697688545255e-05,"0.000246141073780182
"
37,7.12480891762457e-06,"0
"
38,4.4700015464527176e-05,"1.04470199084883e-05
"
39,2.220446049250313e-16,"0
"
40,1.0184790081746442e-05,"0.0240217907391197
"
41,6.865815500134431e-06,"0.000337670982215377
"
42,0.0,"0
"
43,8.72635297355373e-13,"0
"
44,1.65043511080043e-08,"0
"
45,4.755060789563004e-10,"1.27856317982955e-05
"
46,2.724348302507451e-09,"0
"
47,0.0,"0
"
48,2.7103674860029514e-10,"0
"
49,1.993609131334395e-06,"3.16539325551091e-05
"
50,0.038977328833686764,"0.0472190392901746
"
51,2.870618853734186e-08,"0.000347457727341238
"
52,1.81387107556219e-08,"0
"
53,0.0002075198196441752,"0.00266812930354021
"
54,2.167932500185543e-12,"0
"
55,5.495603971894525e-14,"0
"
56,1.887379141862766e-15,"6.42283370932972e-06
"
57,2.6169832967326556e-10,"0
"
58,2.7455482332072734e-11,"0
"
59,0.0045313711858212535,"0.223390373742968
"
60,3.6510430456715426e-08,"0.000168473411740755
"
61,2.1277689858378857e-05,"0.000338954830918059
"
62,0.0,"0
"
63,0.003231430760169962,"6.25903789885918e-06
"
64,0.09763459161611254,"0.0263283752036974
"
65,8.072632359246157e-06,"0.000181766867693778
"
66,0.00222407168107297,"0.000833192490134693
"
67,6.709501899182513e-06,"4.84013860524435e-06
"
68,1.1102230246251565e-16,"0
"
69,2.4845757551350545e-07,"0
"
70,1.1102230246251565e-15,"0
"
71,1.6670320679423867e-10,"0
"
72,5.1867631374102885e-05,"0.00140969141796798
"
73,3.886450050671897e-10,"0
"
74,2.665274168034415e-08,"0
"
75,6.427597548652741e-07,"0.00588717223746271
"
76,4.275568787903694e-11,"0
"
77,5.145550652230213e-12,"0
"
78,0.009977589275794396,"0.00191358127875829
"
79,2.7179369865848457e-12,"0
"
80,0.0,"0
"
81,0.2085361060326213,"0.00480870796885302
"
82,6.899769644519438e-11,"5.45238464211284e-06
"
