,p_pi,p_gamma
0,0.10964879156549401,"0.240997365193109
"
1,0.06797037211770529,"0.0196767178668156
"
2,0.196963125428529,"0.242217933874541
"
3,0.3002563052615427,"0.0636537832431663
"
4,0.1519290562811011,"0.121269041685902
"
5,0.15407004212032283,"0.0704823956759653
"
6,0.5251437340787624,"0.57338793657027
"
7,0.6073610493615811,"0.398676433093326
"
8,0.09496712539852414,"0.188275429907193
"
9,0.015595887193549651,"0.0761590412963989
"
10,0.0015342061044060218,"0.00212486803154599
"
11,0.008687482744968333,"0.0146226926400517
"
12,0.005484510497974826,"0.0327475511094042
"
13,0.1362785395208722,"0.0582358168561905
"
14,0.1161105674379872,"0.132104408465414
"
15,0.08939446396027828,"0.174355347001058
"
16,0.9999994067478555,"0.11301536157041
"
17,0.02899984653438903,"0.000257782130655304
"
18,0.1088260232273689,"0.119132809802012
"
19,0.5415563459831803,"0.643019076862079
"
20,0.15179166681099865,"0.610836157428888
"
21,0.06428789009199609,"0.0919409605606729
"
22,0.2360259477422717,"0.262246836871203
"
23,0.6056534304158316,"0.503930793836356
"
24,0.4765826600905253,"0.548739639200408
"
25,0.3866609037647736,"0.65093570761972
"
26,0.014372633991798112,"0.00012130570075608
"
27,0.01932744671195874,"0.010635984929381
"
28,0.17700431296426866,"0.0701091559752713
"
29,0.021499230936307456,"0.105497620320903
"
30,0.10245229040678105,"0.0757766069007595
"
31,0.577635387104563,"0.755178631773884
"
32,0.013828885482444542,"0.0560717606891208
"
33,0.10534465930901404,"0.121133296898389
"
34,0.5374820454930799,"0.413950812167244
"
35,0.599110936859257,"0.531627743700216
"
36,0.19145214628878016,"0.195815559862555
"
37,0.3113485034049801,"0.0987010020701594
"
38,0.4674062631617495,"0.82266011164272
"
39,0.6141301601281504,"0.699484616804485
"
40,0.0982081332073258,"0.51454252058798
"
41,0.22239468765299852,"0.251604625192028
"
42,0.6587400222172288,"0.461297730484014
"
43,0.14838484217009928,"0.0649815153967939
"
44,0.3823861972127093,"0.538655598406853
"
45,0.14090306483449533,"0.0717043506977519
"
46,0.391046793333539,"0.664034638751703
"
47,0.13392157824024842,"0.344947571716692
"
48,0.5178999477797279,"0.195968320968701
"
49,0.7309832475705043,"0.388778781142633
"
50,0.17397498112780563,"0.622149374994187
"
51,0.12834994694146717,"0.402059940214786
"
52,0.6368413731727878,"0.701242560885786
"
53,0.7636436182165919,"0.601315722318585
"
54,0.01121904797301998,"0.0780335661339631
"
55,0.1118775382013486,"0.138424416370418
"
56,0.015792131992711234,"0.0608265757410615
"
57,0.29045529197818276,"0.411256052573304
"
58,0.024422973077015575,"0.00952267900755732
"
59,0.049091833088786285,"0.0688550697165509
"
60,0.002471663521210976,"0.000706233685376922
"
61,0.08564851057392031,"0.137028813108502
"
62,0.014159494277766194,"0.0125651111720608
"
63,0.25359623200278414,"0.0310253670809415
"
64,0.05881085504019168,"0.0071060796684953
"
65,0.9632088302034202,"0.150944175910079
"
66,0.5608402848869749,"0.21606036193159
"
67,0.09947857599365328,"0.0619925134433712
"
68,0.13123600472024144,"0.0284155730399189
"
69,0.04486530266203648,"0.242195780633912
"
70,0.4049488528516313,"0.164198590691491
"
71,0.05632721851403144,"0.228498092187674
"
72,0.020079031786141455,"0.000979219731421344
"
73,0.2948023943111878,"0.226587370793877
"
74,0.08048053985664527,"0.0305328483289433
"
75,0.35528785523007833,"0.416121699597873
"
76,0.1387514028047917,"0.195291475317903
"
77,0.6770095956164112,"0.753229686121897
"
78,0.09877564455024357,"0.13169589186042
"
79,0.002907865370221585,"0.0115435174122187
"
80,0.0750556316853358,"0.270413013987063
"
81,0.5869182568787825,"0.608306483793894
"
82,0.0049430001993789885,"0.00796089042788917
"
83,0.15997516774809084,"0.0846273687949777
"
84,0.1843677416140016,"0.715690148716425
"
85,0.032159934004413304,"0.00450810892632569
"
86,0.2299045331082925,"0.399326904394855
"
87,0.3594643394154434,"0.561103850261973
"
88,0.0003146084640652802,"0.0111892634011987
"
89,0.05006238960443121,"0.0702578618938063
"
90,0.1742686807684094,"0.162403679961652
"
91,0.07189581941048828,"0.186606876753695
"
92,0.037135108558846275,"0.131479618345511
"
93,0.20698509986422897,"0.459521368834703
"
94,0.11205680123036943,"0.536637545279654
"
95,0.02844377358184469,"0.0840081589244196
"
96,0.22055956712138947,"0.0824482209473674
"
97,0.012501915153206644,"0.0498930619135296
"
98,0.11076927015913163,"0.623112720542798
"
99,0.05072401924175585,"0.00520731928411777
"
100,0.06139858603974013,"0.0719413786563972
"
101,0.3537873613142849,"0.176257547968437
"
102,0.009645689538022029,"0.00568644083102043
"
103,0.23182827767448588,"0.158855275041544
"
104,0.8221987969983044,"0.63671533148449
"
105,0.4750441946344378,"0.376827575492742
"
106,0.11286550646064153,"0.0615362748896259
"
107,0.16278984382460926,"0.0679966918420734
"
108,0.3868874757676085,"0.187621446448321
"
109,0.4291314777995152,"0.352020730458371
"
110,0.1263354569936893,"0.0619209413810102
"
111,0.18699238355342007,"0.0812887721018597
"
112,0.015622390791695584,"0.0210727300653875
"
113,0.3106856160784677,"0.0890297194681178
"
114,0.009637154162952966,"0.00371438620282993
"
115,0.6331682956087124,"0.801834022639637
"
116,0.06203650357705581,"0.0845768519111009
"
117,0.33409936803017837,"0.25572361287212
"
118,0.047761832813842275,"0.146839111429411
"
119,0.13002864189416374,"0.115227627787682
"
120,0.864306520988505,"0.630378661772211
"
121,0.3221855002694447,"0.236682842571464
"
122,0.21642653366030407,"0.220442417256795
"
123,0.9983966009825298,"0.982623760090768
"
124,0.036140243014570195,"0.113663417655116
"
125,0.7521621662832594,"0.479142781738271
"
126,0.018823277894907564,"0.0516730597660175
"
127,0.11215663125444386,"0.231167750108504
"
128,0.24968571273061924,"0.227045839644849
"
129,0.4087645564663357,"0.252147092824044
"
130,0.1101396299371632,"0.0813290666230125
"
131,0.04743507835737881,"0.00247895886898808
"
132,0.3577404677266208,"0.163452258898198
"
133,0.002297257200801206,"0.00217413459830496
"
134,0.2757596614253076,"0.105852754637098
"
135,0.08867121732760541,"0.113135380596467
"
136,0.5349046002819203,"0.862466312474711
"
137,0.6792619980651553,"0.65816040422382
"
138,0.4841536022701247,"0.545372400340055
"
139,0.32992721179616247,"0.359000936165998
"
140,0.0001218239531806109,"0.000129870989032388
"
141,0.42981289680088974,"0.597975778844224
"
142,0.4405368615518491,"0.330656280319891
"
143,0.383427455939504,"0.237035325632591
"
144,0.2797996063623428,"0.116001513293446
"
145,0.1588226008511795,"0.401407706998701
"
146,0.040977241807733544,"0.0147916995996653
"
147,0.6556558349615174,"0.173739673171438
"
148,0.6903973765963202,"0.691973619790709
"
149,0.14552078821417191,"0.0550818177001681
"
150,0.10480024720248649,"0.0499555601386543
"
151,0.1456994383751138,"0.287949918823379
"
152,0.01669277118990309,"0.0504127742827525
"
153,0.22504280350829042,"0.0149412895263709
"
154,0.037876017448562505,"0.0166478849698032
"
155,0.09190485946655369,"0.0664928145476408
"
156,0.1311443169963754,"0.214835087539717
"
157,0.44733563301366186,"0.39689231081165
"
158,0.0473396912312789,"0.0535995494967256
"
159,0.007534604187274474,"0.000150328298581859
"
160,0.006983342054768249,"0.103173560837708
"
161,0.005657535465367958,"0.025057581362336
"
162,0.14481505126103955,"0.18873143789132
"
163,0.21759389543243968,"0.101430239619764
"
164,0.00111355682004044,"0.00128638406382742
"
165,0.5115795285710135,"0.31586935353392
"
166,0.2913551878599808,"0.294946293301851
"
167,0.06586418712303932,"0.0784250407148381
"
168,0.15514061955780456,"0.413319439529151
"
169,0.9210004616913418,"0.0796883248792483
"
170,0.45139176870348807,"0.473859253226941
"
171,0.33547948156552354,"0.387452785361874
"
172,0.08262751402136248,"0.321200702544516
"
173,0.17512378986709964,"0.132418042049309
"
174,0.7251932616693806,"0.721792319278555
"
175,0.01335138450046136,"0.00101572049912879
"
176,0.3270593698735774,"0.429765136267421
"
177,0.028073816656492,"0.00188583093114147
"
178,0.2217756055585841,"0.380322048932726
"
179,0.16719970225703373,"0.119210018942211
"
180,0.12206619534254326,"0.0535956402944957
"
181,0.05232888898138699,"0.194420724093999
"
182,0.0015462725732324767,"0.00813194298020226
"
183,0.054601829056963536,"0.0589638221496604
"
184,0.7305880681060618,"0.602588325280471
"
185,0.12027246941056369,"0.198161990790347
"
186,0.036271622263530756,"0.0472945029828928
"
187,0.07975609859170107,"0.296403034821829
"
188,0.02062595843879711,"0.0376683977969068
"
189,0.0053897670919804685,"0.00235829828949419
"
190,0.23708119776548442,"0.360166940223261
"
191,0.28346643575805397,"0.19438168126825
"
192,0.04718123639089156,"0.0295300226493795
"
193,0.24866640127053574,"0.328391315408992
"
194,0.17925528469708063,"0.155380456641748
"
195,0.13643222550307688,"0.0664344143778337
"
196,0.08981441312594707,"0.0595517218002728
"
197,0.28069288578581086,"0.116981575409679
"
198,0.24775568839707884,"0.107261171293292
"
199,0.2166389849744117,"0.292695850305213
"
200,0.024034695426415342,"0.0478389088998845
"
201,0.9174138296646144,"0.790547306807745
"
202,0.003632080381509195,"0.0211480491796096
"
203,0.36989810257238076,"0.322055393160643
"
204,0.007378653591936679,"0.00695251286012766
"
205,0.9171029438620588,"0.745756080910437
"
206,0.44719798034934666,"0.148277044404942
"
207,0.13175154905579345,"0.16044442119059
"
208,0.6275445018521713,"0.735760061177048
"
209,0.22228323362123603,"0.188473669988211
"
210,0.0672317531926947,"0.0487414100936839
"
211,0.8165445044423059,"0.906340120130911
"
212,0.07539516532502999,"0.130260694343292
"
