,p_pi,p_gamma
0,(7.344878575343827e-06+0j),"0
"
1,(2.866121784350639e-10+0j),"0
"
2,(1.3614576133136325e-10+0j),"0
"
3,(1.765254609153999e-13+0j),"0
"
4,(2.409454408214273e-07+0j),"0
"
5,(1.4698406936020092e-08+0j),"0
"
6,(0.11235546375648742+0j),"0.0941612584870527
"
7,(2.467611670553538e-10+0j),"0
"
8,(1.7439716337719346e-11+0j),"0
"
9,(6.3228274712612276e-06+0j),"2.50778442771882e-05
"
10,(1.1082981199450614e-09+0j),"0
"
11,(1.3211653993039363e-13+0j),"0
"
12,(2.2604140781368187e-12+0j),"0
"
13,(6.268541241638559e-12+0j),"0
"
14,(1.0147327422771468e-11+0j),"0
"
15,(5.80036019215413e-12+0j),"0
"
16,(2.256007878642663e-05+0j),"0.000135070799234582
"
17,(0.5093748588223936+0j),"0.0678386403631328
"
18,(0.003132139296898595+0j),"0.000424348965942678
"
19,(9.641427656248425e-10+0j),"0
"
20,(4.884981308350689e-15+0j),"0
"
21,(2.3583573560692628e-07+0j),"0
"
22,(3.4416913763379853e-15+0j),"0
"
23,(1.0146507489761092e-07+0j),"0
"
24,(8.537615059367454e-14+0j),"0
"
25,0j,"0
"
26,(3.7414693565551715e-09+0j),"0
"
27,(3.559304718514511e-06+0j),"1.12113214871812e-05
"
28,(4.055644708955697e-13+0j),"0
"
29,(0.0010273535094007524+0j),"0.000428659481196081
"
30,(1.7525319528921557e-08+0j),"0
"
31,(0.006230361397576267+0j),"0.00420473004993027
"
32,(2.0957990898295975e-10+0j),"0
"
33,(4.5163195405706347e-10+0j),"0
"
34,(1.0445762921307278e-08+0j),"0
"
35,(4.5063952569535104e-13+0j),"0
"
36,(1.1102230246251565e-16+0j),"0
"
37,(1.3194458559073752e-07+0j),"0
"
38,(1.1102230246251565e-16+0j),"0
"
39,(1.9922952176898434e-12+0j),"0
"
40,(5.81312775693732e-13+0j),"0
"
41,(7.183822425815833e-10+0j),"0
"
42,(2.982653013461345e-10+0j),"0
"
43,(1.2111643998835575e-07+0j),"0
"
44,(2.1316282072803006e-14+0j),"0
"
45,0j,"0
"
46,(3.742395282557709e-11+0j),"0
"
47,(1.7763568394002505e-15+0j),"0
"
48,(1.1377565556358604e-11+0j),"0
"
49,(2.653433028854124e-14+0j),"0
"
50,(1.832770535337147e-08+0j),"0
"
51,(1.6992629525702796e-10+0j),"0
"
52,(6.550315845288424e-14+0j),"0
"
53,(2.3774481383576074e-08+0j),"0
"
54,(1.0730841770723032e-09+0j),"0
"
55,(9.297007608211061e-11+0j),"0
"
56,(6.24389429049188e-13+0j),"0
"
57,(0.005244926908652969+0j),"0.000179485840869575
"
58,0j,"0
"
59,(0.0005485335261671276+0j),"0.000121356856039423
"
60,(6.409650588068416e-12+0j),"0
"
61,(0.005346007525724228+0j),"0.000115479988664458
"
62,(1.720979522168431e-05+0j),"0
"
63,(3.8121727996554e-12+0j),"0
"
64,(3.9523939676655573e-13+0j),"0
"
65,(1.0647038806155251e-13+0j),"0
"
66,(0.0025128636231309676+0j),"2.09675396716236e-05
"
67,(3.0597746558669314e-13+0j),"0
"
68,(0.004663206893975369+0j),"0.0100908922242371
"
69,(3.3306690738754696e-16+0j),"0
"
70,(0.1478813645772964+0j),"0.0265539423693711
"
71,(5.767982952376016e-07+0j),"0
"
72,(1.865174681370263e-14+0j),"0
"
73,(5.066851604951239e-09+0j),"0
"
74,(1.0880096823484564e-10+0j),"0
"
75,(4.718447854656915e-14+0j),"0
"
76,(1.7638753568860466e-08+0j),"0
"
77,(5.9170481181425316e-08+0j),"0
"
78,(0.07882460849802153+0j),"0.0145767998312772
"
79,(4.4297898682543746e-14+0j),"0
"
80,(1.0156320229270932e-12+0j),"0
"
81,(8.326501314104284e-06+0j),"0.00201609111713441
"
82,(0.4532117175743612+0j),"0.427710389311853
"
83,(0.0001205557996731832+0j),"0.00451222389246264
"
84,(5.849274398173065e-10+0j),"0
"
85,(7.283063041541027e-13+0j),"0
"
