,p_pi,p_gamma
0,0.0,"0
"
1,0.0,"0
"
2,0.0019809880504814137,"0.00339822267600387
"
3,3.098632461728812e-13,"0
"
4,0.0,"0
"
5,0.0,"0
"
6,7.725486916854152e-12,"0
"
7,1.2656542480726785e-13,"0
"
8,0.00022484595685245967,"3.6147094814587e-05
"
9,0.0,"0
"
10,0.0,"0
"
11,0.0,"0
"
12,0.0,"0
"
13,0.0,"0
"
14,3.3481307726290765e-09,"0
"
15,0.0,"0
"
16,0.0016581357087549486,"0.000941290217526758
"
17,0.0,"0
"
18,0.0,"0
"
19,0.0,"0
"
20,0.0,"0
"
21,0.0,"0
"
22,0.0,"0
"
23,0.037285921141168576,"0.0150451225004884
"
24,0.0,"0
"
25,0.0,"0
"
26,0.0,"0
"
27,0.0,"0
"
28,0.0,"0
"
29,0.19862124216377164,"0.054854809278774
"
30,0.0,"0
"
31,0.0,"0
"
32,0.0,"0
"
33,0.0,"0
"
34,0.0,"0
"
35,0.0,"0
"
36,0.0,"0
"
37,0.0,"0
"
38,0.0,"0
"
39,0.0,"0
"
40,6.772360450213455e-14,"0
"
41,0.0,"0
"
42,0.061252585132815285,"0.0106571061122021
"
43,6.139533326177116e-14,"0
"
44,0.0,"0
"
45,0.0,"0
"
46,0.0,"0
"
47,1.5229306704611645e-09,"0
"
48,9.2137620555377e-07,"3.4008902574767e-05
"
49,2.2093438190040615e-14,"0
"
50,0.0,"0
"
51,0.0,"0
"
52,0.0,"0
"
53,0.0,"0
"
54,0.0,"0
"
55,2.220446049250313e-16,"0
"
56,0.00143638600264262,"0.00149888066410886
"
57,0.0,"0
"
58,0.0,"0
"
59,0.0,"0
"
60,0.0,"0
"
61,0.0,"0
"
62,0.0,"0
"
63,5.35638200460653e-12,"0
"
64,0.0,"0
"
65,0.0,"0
"
66,0.0,"0
"
67,0.0,"0
"
68,5.5103660873134785e-05,"1.04951133648168e-05
"
69,0.0,"0
"
70,0.0,"0
"
71,0.0,"0
"
72,0.0,"0
"
73,4.440892098500626e-16,"0
"
74,3.0133151451838813e-07,"0
"
75,0.012324547254913276,"6.71743641108558e-05
"
76,2.220446049250313e-16,"0
"
77,8.993202873619488e-06,"0
"
78,0.0,"0
"
79,0.0,"0
"
80,0.0,"0
"
81,0.0,"0
"
82,0.0,"0
"
83,0.0,"0
"
84,0.0,"0
"
85,0.0,"0
"
86,0.0,"0
"
87,0.0,"0
"
88,0.0,"0
"
89,0.0,"0
"
90,0.0,"0
"
91,0.006438596293214638,"0.00300440367792809
"
92,0.0,"0
"
93,0.0,"0
"
94,0.0,"0
"
95,0.0,"0
"
96,3.97015753605956e-13,"0
"
97,0.0,"0
"
98,0.0,"0
"
99,3.885780586188048e-15,"0
"
100,0.0,"0
"
101,0.0,"0
"
102,0.0,"0
"
103,1.4432899320127035e-15,"0
"
104,0.0,"0
"
105,0.0,"0
"
106,0.0,"0
"
107,3.501819200280032e-06,"0
"
108,0.0,"0
"
109,0.0,"0
"
110,8.559819519859957e-14,"0
"
111,0.0,"0
"
112,0.0,"0
"
113,0.0,"0
"
114,0.0,"0
"
115,0.0,"0
"
116,0.0,"0
"
117,0.0013857482812519306,"7.24137949137393e-05
"
118,0.0,"0
"
119,0.0,"0
"
120,0.0,"0
"
121,0.0,"0
"
122,0.0,"0
"
123,0.0,"0
"
124,0.0,"0
"
125,0.0,"0
"
126,0.0,"0
"
127,0.0,"0
"
128,0.0,"0
"
129,3.082073165683319e-06,"4.85682833117895e-06
"
130,0.0,"0
"
131,0.0,"0
"
132,0.0,"0
"
133,0.0,"0
"
134,0.0,"0
"
135,9.303668946358812e-14,"0
"
136,0.0,"0
"
137,0.0,"0
"
138,0.0,"0
"
139,0.0,"0
"
