,p_pi,p_gamma
0,4.2510439612897244e-13,"0
"
1,2.5585200624789195e-11,"0
"
2,1.6064460872655673e-10,"0
"
3,7.314149286230531e-12,"0
"
4,0.0019435439592093706,"8.88657448494534e-06
"
5,6.824692070361849e-07,"0.000651020918488676
"
6,1.2127787663018808e-10,"0
"
7,7.966208115384177e-08,"0
"
8,5.240989913168903e-07,"0
"
9,8.252185990098582e-08,"0
"
10,9.449441229492095e-12,"0
"
11,2.017304212564852e-09,"0
"
12,7.283518232981123e-11,"0
"
13,1.5206688019908654e-08,"0
"
14,1.3631373495526233e-06,"0
"
15,6.68156641125961e-10,"0
"
16,4.836475664404816e-11,"0
"
17,2.142730437526552e-14,"0
"
18,1.1289411960824225e-08,"0
"
19,2.8201885271528226e-11,"0
"
20,1.5265691599708475e-06,"0
"
21,3.055181204647539e-05,"0
"
22,1.469480093163611e-11,"0
"
23,3.066956150110656e-05,"0
"
24,9.094675434462296e-05,"0
"
25,2.432498646953718e-13,"0
"
26,0.0027080950134750204,"3.49850575631638e-06
"
27,2.3872459564699966e-11,"0
"
28,0.5792172195603188,"0.0467500834923458
"
29,1.7007622212794615e-06,"0
"
30,0.1565428379201934,"0.065417070298456
"
31,4.650724250154781e-12,"0
"
32,2.3523594183672003e-10,"0
"
33,0.04156058298011178,"0.000239203188385106
"
34,0.013032390093989488,"0.000511383452616254
"
35,0.0003802852434348081,"0
"
36,1.3597545311938575e-10,"0
"
37,7.064219986752107e-09,"0
"
38,3.4333555780641234e-06,"0
"
39,3.73180126800321e-08,"0
"
40,4.251898833018686e-11,"0
"
41,3.779421220428958e-12,"0
"
42,0.05768120520112752,"0.0060375730097646
"
43,2.0814867429663764e-07,"0
"
44,7.560396753092391e-12,"0
"
45,0.35994255743952464,"0.158333520626327
"
46,0.015947615889412514,"4.51604468444389e-05
"
47,1.4373033874193197e-09,"0
"
48,1.3637757589890498e-11,"0
"
49,2.749121827960721e-07,"0
"
50,0.00354629528603867,"0.00419433663748259
"
51,5.456080032217869e-12,"0
"
52,1.3437846523300934e-06,"0
"
